Message Size [B],Latency w/o liboxton [us],Latency w/ liboxton [us]
0,24.65,24.69
1,24.67,24.73
2,24.71,24.7
4,24.63,24.73
8,24.71,24.75
16,24.66,24.79
32,24.85,24.96
64,25.37,25.79
128,26.73,26.84
256,29.59,29.84
512,34.72,34.41
1024,75.8,64.17
2048,71.3,71.72
4096,155.94,189.47
8192,238.06,243.27
16384,261.87,258.48
32768,440.58,424.8
65536,900.86,947.29
131072,1385.4,1430.61
262144,2516.92,2509.5
524288,4786.38,4751.89
1048576,9269.73,9283.43
2097152,18191.52,18164.43
4194304,35997.5,36006.74